match_id,radiant_hero_1,radiant_hero_2,radiant_hero_3,radiant_hero_4,radiant_hero_5,dire_hero_1,dire_hero_2,dire_hero_3,dire_hero_4,dire_hero_5,radiant_win
7114899771,43,49,135,86,87,101,109,51,19,65,False
7114954250,136,76,43,19,58,120,69,44,64,128,False
7114982852,49,69,1,9,128,100,109,101,98,51,True
7115054285,13,128,85,109,135,38,120,114,86,64,False
7115066666,135,121,8,60,43,21,10,128,111,19,False
7115067271,106,97,70,63,5,109,110,37,100,14,False
7115093561,91,52,104,114,85,11,38,106,75,86,False
7115096341,81,121,77,86,75,119,5,55,95,17,False
7115096927,128,64,129,54,19,51,16,114,14,5,False
7115120638,36,4,121,71,28,34,104,31,114,91,False
7115122497,99,95,119,22,85,77,100,86,121,59,False
7115134296,44,137,69,45,85,21,64,114,61,106,True
7115153037,96,73,86,39,84,38,51,120,14,109,True
7115161788,81,126,86,106,112,114,87,20,9,129,False
7115168734,98,47,100,93,128,1,9,64,85,23,False
7115176756,87,9,38,14,10,60,106,86,114,77,True
7115190115,26,137,5,71,10,101,63,81,18,84,True
7115195579,23,56,9,84,100,17,101,64,96,44,True
7115222747,39,123,102,87,69,64,46,114,65,88,True
7115227540,22,42,9,3,38,74,97,4,87,72,False
7115229571,21,17,54,62,85,128,65,1,5,96,True
7115230499,69,12,91,25,5,110,71,77,85,48,False
7115239365,10,106,85,49,123,69,52,33,57,9,False
7115273999,58,109,62,38,86,87,52,106,12,19,True
7115275487,100,110,61,10,65,41,34,86,85,72,True
7115278678,106,4,86,100,71,47,56,68,72,32,True
7115300970,1,58,53,32,9,13,6,85,96,86,True
7115308146,25,100,53,123,38,44,64,114,137,86,False
7115315354,9,85,64,32,13,63,52,43,51,128,True
7115328231,30,97,100,102,87,9,1,114,38,123,False
7115331155,41,13,110,28,56,9,53,71,120,36,False
7115337441,10,7,25,105,57,52,41,85,29,123,True
7115347193,85,11,86,38,54,46,49,137,87,105,True
7115367393,32,9,64,13,98,14,120,21,62,85,False
7115372058,44,72,64,76,96,128,102,62,101,34,True
7115375164,109,65,105,87,19,106,85,114,69,54,True
7115378677,109,19,135,87,123,25,13,119,54,102,False
7115402697,123,49,108,62,23,87,77,33,7,17,True
7115405500,49,87,17,19,98,110,76,86,61,81,False
7115432930,11,48,30,71,86,46,31,65,121,106,False
7115436185,87,10,119,85,100,21,17,1,135,75,True
7115475342,31,86,126,96,20,14,74,95,85,5,False
7115481720,101,74,41,49,87,91,93,92,45,19,False
7115496899,70,13,53,85,107,49,101,87,120,42,True
7115531064,5,137,93,85,46,104,105,86,102,32,True
7115534969,64,120,9,1,69,28,5,43,42,100,True
7115552741,74,86,64,41,137,51,19,123,70,96,False
7115553983,93,120,38,21,91,101,23,49,87,109,False
7115615966,49,93,64,69,89,1,36,53,85,26,False
7115631606,19,67,87,128,120,38,126,119,70,5,True
7115636736,64,44,105,112,104,135,67,120,5,119,False
7115673491,106,51,87,12,33,85,79,65,6,96,True
7115681139,93,11,9,69,87,58,47,38,35,19,False
7115707859,81,69,123,52,87,42,86,96,106,64,True
7115748930,64,32,121,21,69,42,5,62,120,119,True
7115760869,49,58,128,102,77,5,86,76,44,96,False
7115765590,87,128,61,12,49,10,106,85,86,65,True
7115775138,19,5,104,101,93,2,114,68,52,86,True
7115842646,85,6,77,87,52,86,69,128,3,72,True
7115874194,54,120,105,135,85,53,100,107,128,87,True
7115884373,74,62,5,123,14,85,137,10,2,9,False
7115887523,70,38,50,5,86,9,76,60,14,95,True
7115931702,52,114,32,58,93,87,10,38,62,106,True
7115938837,32,86,37,38,11,69,106,128,87,129,True
7115945602,85,126,1,69,105,109,87,104,98,128,False
7115947791,53,17,78,87,85,109,120,43,51,58,False
7115964693,38,54,31,106,75,60,6,49,85,9,False
7116018782,62,85,96,10,9,93,110,69,87,32,True
7116022745,100,119,58,10,28,106,51,70,43,9,True
7116032846,114,106,69,123,64,51,120,135,87,109,True
7116038092,33,120,86,58,6,91,93,4,87,52,False
7116039375,135,70,129,85,119,128,58,36,95,21,False
7116127828,93,86,88,85,129,19,128,46,49,9,False
7116132831,110,120,49,12,3,87,33,65,85,10,False
7116182424,128,47,75,106,70,6,108,86,11,87,True
7116211558,86,113,40,14,89,58,98,106,73,53,False
7116213836,49,1,64,45,13,97,10,106,86,21,True
7116247563,60,107,17,43,85,120,38,86,58,10,False
7116261857,123,54,137,86,33,135,48,9,105,11,True
7116302619,128,110,54,49,35,136,114,74,87,135,False
7116335562,11,120,85,128,61,43,83,137,22,1,True
7116420936,104,101,105,94,126,102,13,87,51,98,True
