match_id,start_time,leaguename
7114899771,1681945314,DPC 2023 NA Spring Tour Division II – presented by PGL
7114954250,1681952131,DPC 2023 NA Spring Tour Division II – presented by PGL
7114982852,1681955260,DPC 2023 NA Spring Tour Division II – presented by PGL
7115054285,1681963235,DPC 2023 CN Spring Tour Division II - presented by Perfect World Esports
7115066666,1681963556,Ancients League
7115067271,1681963703,Destiny league
7115093561,1681966283,DPC 2023 CN Spring Tour Division II - presented by Perfect World Esports
7115096341,1681966354,Destiny league
7115096927,1681966376,Ancients League
7115120638,1681968543,Ancients League
7115122497,1681968804,Destiny league
7115134296,1681969784,ESportsBattle | DOTA2 SC4
7115153037,1681971495,Destiny league
7115161788,1681972184,Ancients League
7115168734,1681972775,ESportsBattle | DOTA2 SC4
7115176756,1681973995,DPC 2023 CN Spring Tour Division II - presented by Perfect World Esports
7115190115,1681974566,Destiny league
7115195579,1681974927,Ancients League
7115222747,1681977291,DPC 2023 CN Spring Tour Division II - presented by Perfect World Esports
7115227540,1681977328,Ancients League
7115229571,1681977473,ESportsBattle | DOTA2 SC4
7115230499,1681977578,Destiny league
7115239365,1681978211,European Pro League  2022-2023 Season
7115273999,1681980907,DreamLeague Season 19 powered by Intel
7115275487,1681980696,Destiny league
7115278678,1681980855,Ancients League
7115300970,1681982362,European Pro League  2022-2023 Season
7115308146,1681982864,Ultras Dota Pro League  2023
7115315354,1681983323,ESportsBattle | DOTA2 SC4
7115328231,1681984178,DreamLeague Season 19 powered by Intel
7115331155,1681984499,Destiny league
7115337441,1681984780,Ancients League
7115347193,1681985383,DPC 2023 EEU Spring Tour Division II - presented by Paragon Events
7115367393,1681986600,ESportsBattle | DOTA2 SC4
7115372058,1681986878,Ultras Dota Pro League  2023
7115375164,1681987302,Destiny league
7115378677,1681987271,Ancients League
7115402697,1681988789,European Pro League  2022-2023 Season
7115405500,1681988902,DPC 2023 EEU Spring Tour Division II - presented by Paragon Events
7115432930,1681990227,Destiny league
7115436185,1681990337,ESportsBattle | DOTA2 SC4
7115475342,1681992186,Ultras Dota Pro League  2023
7115481720,1681992436,European Pro League  2022-2023 Season
7115496899,1681993502,DreamLeague Season 19 powered by Intel
7115531064,1681994498,Ultras Dota Pro League  2023
7115534969,1681994651,ESportsBattle | DOTA2 SC4
7115552741,1681995754,DPC 2023 EEU Spring Tour Division II - presented by Paragon Events
7115553983,1681995443,European Pro League  2022-2023 Season
7115615966,1681998061,DreamLeague Season 19 powered by Intel
7115631606,1681998260,Ultras Dota Pro League  2023
7115636736,1681998405,ESportsBattle | DOTA2 SC4
7115673491,1682000045,DPC 2023 EEU Spring Tour Division II - presented by Paragon Events
7115681139,1682000131,European Pro League  2022-2023 Season
7115707859,1682000870,Ultras Dota Pro League  2023
7115748930,1682002284,ESportsBattle | DOTA2 SC4
7115760869,1682002949,DPC 2023 EEU Spring Tour Division II - presented by Paragon Events
7115765590,1682002871,European Pro League  2022-2023 Season
7115775138,1682003495,Ultras Dota Pro League  2023
7115842646,1682006101,DreamLeague Season 19 powered by Intel
7115874194,1682006883,Dota 2 Space League
7115884373,1682007284,Ultras Dota Pro League  2023
7115887523,1682007366,ESportsBattle | DOTA2 SC4
7115931702,1682009760,DreamLeague Season 19 powered by Intel
7115938837,1682010303,Dota 2 Space League
7115945602,1682009745,Ultras Dota Pro League  2023
7115947791,1682009991,DPC 2023 SA Spring Tour Division II – presented by ESB Liga Esports
7115964693,1682010555,ESportsBattle | DOTA2 SC4
7116018782,1682012997,Ultras Dota Pro League  2023
7116022745,1682013901,Dota 2 Space League
7116032846,1682013510,DPC 2023 SA Spring Tour Division II – presented by ESB Liga Esports
7116038092,1682014022,DreamLeague Season 19 powered by Intel
7116039375,1682013797,ESportsBattle | DOTA2 SC4
7116127828,1682017904,Dota 2 Space League
7116132831,1682018703,DreamLeague Season 19 powered by Intel
