dataset,model,accuracy
no_items,DNN,0.53482586145401
no_items,Random_Forest,0.5331858407079646
no_items,Logistic_Regression,0.5353982300884956
no_items,XGBoost,0.5293141592920354
5_min,DNN,0.5679933428764343
5_min,Random_Forest,0.5464601769911505
5_min,Logistic_Regression,0.5586283185840708
5_min,XGBoost,0.5453539823008849
10_min,DNN,0.5771144032478333
10_min,Random_Forest,0.5525442477876106
10_min,Logistic_Regression,0.5824115044247787
10_min,XGBoost,0.5536504424778761
15_min,DNN,0.621061384677887
15_min,Random_Forest,0.5636061946902655
15_min,Logistic_Regression,0.6238938053097345
15_min,XGBoost,0.5801991150442478
20_min,DNN,0.6865671873092651
20_min,Random_Forest,0.6028761061946902
20_min,Logistic_Regression,0.6498893805309734
20_min,XGBoost,0.6139380530973452
25_min,DNN,0.7238805890083313
25_min,Random_Forest,0.6576327433628318
25_min,Logistic_Regression,0.7184734513274337
25_min,XGBoost,0.6698008849557522
30_min,DNN,0.7976782917976379
30_min,Random_Forest,0.6963495575221239
30_min,Logistic_Regression,0.7820796460176991
30_min,XGBoost,0.7278761061946902
35_min,DNN,0.8391376733779907
35_min,Random_Forest,0.7201327433628318
35_min,Logistic_Regression,0.8263274336283186
35_min,XGBoost,0.7754424778761062
full,DNN,0.9079601764678955
full,Random_Forest,0.7765486725663717
full,Logistic_Regression,0.8926991150442478
full,XGBoost,0.8368362831858407
