dataset,model,accuracy
no_items,DNN,0.5265340209007263
no_items,Random_Forest,0.5331858407079646
no_items,Logistic_Regression,0.5353982300884956
no_items,XGBoost,0.5293141592920354
5_min_new,DNN,0.5646766424179077
5_min_new,Random_Forest,0.5420353982300885
5_min_new,Logistic_Regression,0.5613938053097345
5_min_new,XGBoost,0.5453539823008849
10_min_new,DNN,0.5779436230659485
10_min_new,Random_Forest,0.5591814159292036
10_min_new,Logistic_Regression,0.5846238938053098
10_min_new,XGBoost,0.5536504424778761
15_min_new,DNN,0.6077943444252014
15_min_new,Random_Forest,0.5707964601769911
15_min_new,Logistic_Regression,0.6216814159292036
15_min_new,XGBoost,0.5801991150442478
20_min_new,DNN,0.6840795874595642
20_min_new,Random_Forest,0.5967920353982301
20_min_new,Logistic_Regression,0.6487831858407079
20_min_new,XGBoost,0.6139380530973452
25_min_new,DNN,0.7305141091346741
25_min_new,Random_Forest,0.672566371681416
25_min_new,Logistic_Regression,0.709070796460177
25_min_new,XGBoost,0.6698008849557522
30_min_new,DNN,0.788557231426239
30_min_new,Random_Forest,0.7085176991150443
30_min_new,Logistic_Regression,0.7754424778761062
30_min_new,XGBoost,0.728429203539823
35_min_new,DNN,0.832504153251648
35_min_new,Random_Forest,0.7417035398230089
35_min_new,Logistic_Regression,0.8241150442477876
35_min_new,XGBoost,0.7754424778761062
full,DNN,0.9029850959777832
full,Random_Forest,0.7765486725663717
full,Logistic_Regression,0.8926991150442478
full,XGBoost,0.8368362831858407
